mes,total_ingresos,total_egresos,resultado
2020-10-01 00:00:00+00:00,0,5362.0,-5362.0
2020-11-01 00:00:00+00:00,34100,24078.0,10022.0
2020-12-01 00:00:00+00:00,82100,45795.0,36305.0
2021-01-01 00:00:00+00:00,88160,66351.0,21809.0
2021-02-01 00:00:00+00:00,127750,56722.0,71028.0
2021-03-01 00:00:00+00:00,72500,90152.0,-17652.0
2021-04-01 00:00:00+00:00,132050,64903.0,67147.0
2021-05-01 00:00:00+00:00,219590,91958.0,127632.0
2021-06-01 00:00:00+00:00,166910,119154.0,47756.0
2021-07-01 00:00:00+00:00,179920,133021.0,46899.0
2021-08-01 00:00:00+00:00,154020,137450.0,16570.0
2021-09-01 00:00:00+00:00,50880,43405.0,7475.0
2021-10-01 00:00:00+00:00,137780,52935.0,84845.0
2021-11-01 00:00:00+00:00,82040,77417.0,4623.0
2021-12-01 00:00:00+00:00,127840,33337.0,94503.0
2022-01-01 00:00:00+00:00,58080,46421.0,11659.0
2022-02-01 00:00:00+00:00,243850,114389.0,129461.0
2022-03-01 00:00:00+00:00,241180,112317.0,128863.0
2022-04-01 00:00:00+00:00,198350,58417.0,139933.0
2022-05-01 00:00:00+00:00,100510,129295.0,-28785.0
2022-06-01 00:00:00+00:00,216700,94389.0,122311.0
2022-07-01 00:00:00+00:00,119970,58737.0,61233.0
2022-08-01 00:00:00+00:00,77720,23289.0,54431.0
2022-09-01 00:00:00+00:00,60958,9673.0,51285.0
2022-10-01 00:00:00+00:00,238340,122811.0,115529.0
2022-11-01 00:00:00+00:00,248340,124728.0,123612.0
2022-12-01 00:00:00+00:00,242890,114069.0,128821.0
2023-01-01 00:00:00+00:00,235480,104203.0,131277.0
2023-02-01 00:00:00+00:00,140570,89691.0,50879.0
2023-03-01 00:00:00+00:00,317230,151507.0,165723.0
2023-04-01 00:00:00+00:00,275970,171715.0,104255.0
2023-05-01 00:00:00+00:00,278000,163160.0,114840.0
2023-06-01 00:00:00+00:00,462300,222514.0,239786.0
2023-07-01 00:00:00+00:00,631900,347351.0,284549.0
2023-08-01 00:00:00+00:00,635900,399288.0,236612.0
2023-09-01 00:00:00+00:00,812210,296220.0,515990.0
2023-10-01 00:00:00+00:00,665250,378317.0,286933.0
2023-11-01 00:00:00+00:00,793470,269145.0,524325.0
2023-12-01 00:00:00+00:00,720526,275352.0,445174.0
2024-01-01 00:00:00+00:00,612440,154375.0,458065.0
2024-02-01 00:00:00+00:00,178450,91470.0,86980.0
2024-03-01 00:00:00+00:00,1457020,411257.0,1045763.0
2024-04-01 00:00:00+00:00,405900,272155.0,133745.0
2024-05-01 00:00:00+00:00,811280,209348.0,601932.0
2024-06-01 00:00:00+00:00,528160,559038.0,-30878.0
2024-07-01 00:00:00+00:00,1020440,213302.0,807138.0
2024-08-01 00:00:00+00:00,567900,896248.0,-328348.0
2024-09-01 00:00:00+00:00,278130,101161.0,176969.0
2024-10-01 00:00:00+00:00,1946400,773704.0,1172696.0
2024-11-01 00:00:00+00:00,115807,610618.0,-494811.0
2024-12-01 00:00:00+00:00,1475277,458501.0,1016776.0
2025-01-01 00:00:00+00:00,1050760,305700.0,745060.0
2025-02-01 00:00:00+00:00,34590,705001.0,-670411.0
2025-03-01 00:00:00+00:00,0,175326.0,-175326.0
2025-05-01 00:00:00+00:00,2350,0.0,2350.0
