mes,total_ingresos
2020-11-01 00:00:00+00:00,34100
2020-12-01 00:00:00+00:00,82100
2021-01-01 00:00:00+00:00,88160
2021-02-01 00:00:00+00:00,127750
2021-03-01 00:00:00+00:00,72500
2021-04-01 00:00:00+00:00,132050
2021-05-01 00:00:00+00:00,219590
2021-06-01 00:00:00+00:00,166910
2021-07-01 00:00:00+00:00,179920
2021-08-01 00:00:00+00:00,154020
2021-09-01 00:00:00+00:00,50880
2021-10-01 00:00:00+00:00,137780
2021-11-01 00:00:00+00:00,82040
2021-12-01 00:00:00+00:00,127840
2022-01-01 00:00:00+00:00,58080
2022-02-01 00:00:00+00:00,243850
2022-03-01 00:00:00+00:00,241180
2022-04-01 00:00:00+00:00,198350
2022-05-01 00:00:00+00:00,100510
2022-06-01 00:00:00+00:00,216700
2022-07-01 00:00:00+00:00,119970
2022-08-01 00:00:00+00:00,77720
2022-09-01 00:00:00+00:00,60958
2022-10-01 00:00:00+00:00,238340
2022-11-01 00:00:00+00:00,248340
2022-12-01 00:00:00+00:00,242890
2023-01-01 00:00:00+00:00,235480
2023-02-01 00:00:00+00:00,140570
2023-03-01 00:00:00+00:00,317230
2023-04-01 00:00:00+00:00,275970
2023-05-01 00:00:00+00:00,278000
2023-06-01 00:00:00+00:00,462300
2023-07-01 00:00:00+00:00,631900
2023-08-01 00:00:00+00:00,635900
2023-09-01 00:00:00+00:00,812210
2023-10-01 00:00:00+00:00,665250
2023-11-01 00:00:00+00:00,793470
2023-12-01 00:00:00+00:00,720526
2024-01-01 00:00:00+00:00,612440
2024-02-01 00:00:00+00:00,178450
2024-03-01 00:00:00+00:00,1457020
2024-04-01 00:00:00+00:00,405900
2024-05-01 00:00:00+00:00,811280
2024-06-01 00:00:00+00:00,528160
2024-07-01 00:00:00+00:00,1020440
2024-08-01 00:00:00+00:00,567900
2024-09-01 00:00:00+00:00,278130
2024-10-01 00:00:00+00:00,1946400
2024-11-01 00:00:00+00:00,115807
2024-12-01 00:00:00+00:00,1475277
2025-01-01 00:00:00+00:00,1050760
2025-02-01 00:00:00+00:00,34590
2025-05-01 00:00:00+00:00,2350
